account_code;category;sub_category;account_name
1;AKTIVA;-;AKTIVA
100;AKTIVA;Aset Lancar - Kas & Bank;Kas & Bank
101;AKTIVA;Aset Lancar - Kas & Bank;Kas Utama
102;AKTIVA;Aset Lancar - Kas & Bank;Petty Cash
103;AKTIVA;Aset Lancar - Kas & Bank;Cash in Transit
104;AKTIVA;Aset Lancar - Kas & Bank;Bank CV, AHA Right Brain
105;AKTIVA;Aset Lancar - Kas & Bank;Bank Lainnya
110;AKTIVA;Aset Lancar - Persediaan Barang;Persediaan Barang
120;AKTIVA;Aset Lancar - Piutang;Piutang
121;AKTIVA;Aset Lancar - Piutang;Piutang Usaha
122;AKTIVA;Aset Lancar - Piutang;Piutang Karyawan
123;AKTIVA;Aset Lancar - Piutang;Piutang Siswa
124;AKTIVA;Aset Lancar - Piutang;Piutang Lain - Lain
130;AKTIVA;Aset Lancar - Dana Belum Disetor;Dana Belum Disetor
131;AKTIVA;Aset Lancar - Dana Belum Disetor;Uang Muka
132;AKTIVA;Aset Lancar - Dana Belum Disetor;Biaya Bayar Dimuka
140;AKTIVA;Aset Lancar - Pajak Bayar Dimuka;Pajak Bayar Dimuka
141;AKTIVA;Aset Lancar - Pajak Bayar Dimuka;PPN Masukan
142;AKTIVA;Aset Lancar - Pajak Bayar Dimuka;Pajak Dibayar Dimuka - PPh 23
143;AKTIVA;Aset Lancar - Pajak Bayar Dimuka;Pajak Dibayar Dimuka - PPh 25
144;AKTIVA;Aset Lancar - Pajak Bayar Dimuka;Pajak Dibayar Dimuka Lainnya
150;AKTIVA;Aset Tetap;Aset Tetap
151;AKTIVA;Aset Tetap;Tanah
152;AKTIVA;Aset Tetap;Bangunan
153;AKTIVA;Aset Tetap;Kendaraan
154;AKTIVA;Aset Tetap;Perlengkapan Kantor
155;AKTIVA;Aset Tetap;Aset Tidak Berwujud
160;AKTIVA;Penyusutan;Penyusutan
161;AKTIVA;Penyusutan;Penyusutan Bangunan
162;AKTIVA;Penyusutan;Penyusutan Kendaraan
163;AKTIVA;Penyusutan;Penyusutan Perlengkapan Kantor
2;KEWAJIBAN;-;KEWAJIBAN
200;KEWAJIBAN;Hutang;Hutang
201;KEWAJIBAN;Hutang;Hutang Usaha
202;KEWAJIBAN;Hutang;Hutang Gaji
203;KEWAJIBAN;Hutang;Hutang Deviden
204;KEWAJIBAN;Hutang;Hutang Pemegang Saham
205;KEWAJIBAN;Hutang;Hutang Lain-Lain
210;KEWAJIBAN;Uang Muka Penjualan;Uang Muka Penjualan
211;KEWAJIBAN;Uang Muka Penjualan;Uang Muka Penjualan
212;KEWAJIBAN;Uang Muka Penjualan;Pendapatan Diterima Dimuka
220;KEWAJIBAN;Pajak;Pajak
221;KEWAJIBAN;Pajak;PPN Keluaran
222;KEWAJIBAN;Pajak;Hutang Pajak PPh 23
223;KEWAJIBAN;Pajak;Hutang Pajak PPh 25
224;KEWAJIBAN;Pajak;Hutang Pajak Lainnya
3;EKUITAS;-;EKUITAS
300;Ekuitas;Modal;Modal
301;Ekuitas;Modal;Modal Saham
302;Ekuitas;Modal;Tambahan Modal Disetor
303;Ekuitas;Modal;Laba Ditahan
304;Ekuitas;Modal;Deviden
305;Ekuitas;Modal;Prive
4;PENDAPATAN;-;PENDAPATAN
400;Pendapatan;Pendapatan Lisensi;Pendapatan Lisensi
401;Pendapatan;Pendapatan Lisensi;Pembukaan Lisensi LC
402;Pendapatan;Pendapatan Lisensi;Pembukaan Lisensi LO
403;Pendapatan;Pendapatan Lisensi;Perpanjangan Lisensi LC
404;Pendapatan;Pendapatan Lisensi;Perpanjangan Lisensi LO
410;Pendapatan;Pendapatan Modul;Pendapatan Modul
411;Pendapatan;Pendapatan Modul;Penjualan Modul Prebasic
412;Pendapatan;Pendapatan Modul;Penjualan Modul Basic
413;Pendapatan;Pendapatan Modul;Penjualan Modul Intermediate
414;Pendapatan;Pendapatan Modul;Penjualan Modul Advance
420;Pendapatan;Pendapatan Siswa;Pendapatan Siswa
421;Pendapatan;Pendapatan Siswa;Pendaftaran Siswa
422;Pendapatan;Pendapatan Siswa;SPP Siswa
430;Pendapatan;Pendapatan Merchandise;Pendapatan Merchandise
431;Pendapatan;Pendapatan Merchandise;Penjualan Gelang Prebasic
432;Pendapatan;Pendapatan Merchandise;Penjualan Gelang Basic
433;Pendapatan;Pendapatan Merchandise;Penjualan Gelang Intermediate
434;Pendapatan;Pendapatan Merchandise;Penjualan Gelang Advance
435;Pendapatan;Pendapatan Merchandise;Penjualan Totebag Prebasic
436;Pendapatan;Pendapatan Merchandise;Penjualan Totebag Basic
437;Pendapatan;Pendapatan Merchandise;Penjualan Totebag Intermediate
438;Pendapatan;Pendapatan Merchandise;Penjualan Totebag Advance
439;Pendapatan;Pendapatan Merchandise;Penjualan Kaos
440;Pendapatan;Pendapatan Merchandise;Penjualan Gantungan Kunci
450;Pendapatan;Pendapatan Lainnya;Pendapatan Lainnya
451;Pendapatan;Pendapatan Lainnya;Training Instruktur
452;Pendapatan;Pendapatan Lainnya;Pendapatan Lain-Lain
453;Pendapatan;Pendapatan Lainnya;Diskon Penjualan
454;Pendapatan;Pendapatan Lainnya;Retur Penjualan
5;BEBAN;-;BEBAN
500;BEBAN;Biaya Lisensi;Biya Lisensi
501;BEBAN;Biaya Lisensi;Biaya Pembukaan Lisensi LC
502;BEBAN;Biaya Lisensi;Biaya Pembukaan Lisensi LO
503;BEBAN;Biaya Lisensi;Biaya Perpanjangan Lisensi LC
504;BEBAN;Biaya Lisensi;Biaya Perpanjangan Lisensi LO
510;BEBAN;Biaya Pembelian Modul;Biaya Pembelian Modul
511;BEBAN;Biaya Pembelian Modul;Biaya Beli Modul Prebasic
512;BEBAN;Biaya Pembelian Modul;Biaya Beli Modul Basic
513;BEBAN;Biaya Pembelian Modul;Biaya Beli Modul Intermediate
514;BEBAN;Biaya Pembelian Modul;Biaya Beli Modul Advance
